name,common_name
Haemorhous mexicanus,house finch
Passer domesticus,house sparrow
Spinus psaltria,lesser goldfinch
Selasphorus sasin,Allen's hummingbird
Psaltriparus minimus,Bushtit
Mimus polyglottos,Northern mockingbird
Zenaida macroura,mourning dove
Sayornis nigricans,black phoebe
Columba livia,rock pigeon
Larus occidentalis,western gull 
Sciurus niger,fox squirrel
Cotinis mutabilis,figeater beetle
Apis mellifera,honey bee
Danaus plexippus,monarch butterfly
Buteo jamaicensis,red-tailed hawk
Hylephila phyleus,fiery skipper
Armadillidium vulgare,common pillbug
Allograpta obliqua,oblique streaktail
Schistocerca nitens,vagrant locust
Harmonia axyridis,Asian lady beetle 
Columba livia domestica,rock pigeon
